,Video Link,Video Title,Views,Uploaded Date,Likes on Video,Dislikes on Video
0,https://www.youtube.com/watch?v=bWWTk-pZX5g,8 fiction books you need to read📚(& that will keep you entertained during your quarantine),"382,446 views",23 Mar 2020,18K,341
1,https://www.youtube.com/watch?v=gyK9USvrvDQ,Top 10 BEST SELLING Books In History,"575,824 views",25 Aug 2018,12K,992
2,https://www.youtube.com/watch?v=GihybX7JyG4,(Full Audiobook) This Book Will Change Everything! (Amazing!),"4,692,014 views",26 Oct 2017,61K,4.3K
3,https://www.youtube.com/watch?v=4f2OCYaqLdE,I Read Every Book Joe from You Recommended,"1,977,658 views",25 Jan 2020,99K,734
4,https://www.youtube.com/watch?v=imA5NPX4ucU,SUPER BIG BOOKHAUL aka *leo has a book buying problem *✨📚,"2,450 views",23 Jul 2020,233,0
5,https://www.youtube.com/watch?v=QgU1zoZJQDM,Rock Bottom Remainders support the Book Industry Charitable Foundation,"17,872 views",Premiered 17 hours ago,393,2
6,https://www.youtube.com/watch?v=zAS1nXFqBM8,15 Books Steve Jobs Thought Everyone Should Read,"255,169 views",1 May 2019,9.2K,189
7,https://www.youtube.com/watch?v=Dk9mcJtIuCs,15 Business Books Everyone Should Read,"1,834,917 views",26 Nov 2017,60K,1K
8,https://www.youtube.com/watch?v=THtKW5hy3u4,20 books to read in 2020,"358,861 views",20 Feb 2020,15K,161
9,https://www.youtube.com/watch?v=eTFy8RnUkoU,How Bill Gates reads books,"4,906,542 views",10 Oct 2017,102K,2.1K
10,https://www.youtube.com/watch?v=a47dqygseGo,15 Books Bill Gates Thinks Everyone Should Read,"1,163,884 views",30 Sep 2018,34K,996
11,https://www.youtube.com/watch?v=6Gw5dK48MtI,"Why books are here to stay | Small Thing Big Idea, a TED series","197,098 views",28 Jan 2020,8.1K,127
12,https://www.youtube.com/watch?v=2pWCyUys6lM,15 Books JORDAN PETERSON Thinks Everyone Should Read,"514,182 views",25 Sep 2019,19K,530
13,https://www.youtube.com/watch?v=v9TDLenqbzM,SAVE ONE DROP ONE: BOOK EDITION,"29,485 views",23 Jul 2020,2.9K,11
14,https://www.youtube.com/watch?v=pNar3Dh9zDk,I read 721 books in 2018,"6,706,981 views",29 Dec 2018,546K,11K
15,https://www.youtube.com/watch?v=XuXhqIsb2sk,5 Books That Changed My Life,"583,637 views",20 Nov 2019,24K,343
